id,split,diagnostic_type,diagnostic_subtype,source_mode,eval_eligible,split_policy
0133bcec,sft_train,symbol_transform,direct_template_template0134,real,true,auto
02a04b59,grpo_holdout,symbol_transform,direct_template_template0134,real,true,auto
02b8d816,sft_train,symbol_transform,direct_template_template0134,real,true,auto
065abaf6,grpo_holdout,symbol_transform,direct_template_template3401,real,true,auto
08f6216d,sft_train,symbol_transform,direct_template_template3401,real,true,auto
0babcba2,grpo_holdout,symbol_transform,untrained_eval_only,real,true,eval_only
0d4b2baa,sft_train,symbol_transform,direct_template_template0134,real,true,auto
0dcfd566,sft_train,symbol_transform,direct_template_template0134,real,true,auto
16cf827a,eval_holdout,symbol_transform,untrained_eval_only,real,true,eval_only
17d62f7a,sft_train,symbol_transform,untrained_eval_only,real,true,eval_only
1c7a0091,eval_holdout,symbol_transform,direct_template_template0134,real,true,auto
1d10ccaf,eval_holdout,symbol_transform,direct_template_template0134,real,true,auto
21b90d9f,grpo_holdout,symbol_transform,direct_template_template0134,real,true,auto
23b0eb54,eval_holdout,symbol_transform,direct_template_template0134,real,true,auto
24e1f1d5,sft_train,symbol_transform,direct_template_template0134,real,true,auto
2c017f70,sft_train,symbol_transform,direct_template_template0134,real,true,auto
2d7edafd,sft_train,symbol_transform,untrained_eval_only,real,true,eval_only
2f6531cb,sft_train,symbol_transform,direct_template_template0134,real,true,auto
2fc5ef5b,sft_train,symbol_transform,untrained_eval_only,real,true,eval_only
3185fdeb,sft_train,symbol_transform,direct_template_template0134,real,true,auto
34b4cf96,sft_train,symbol_transform,direct_template_template0134,real,true,auto
39a1f5e9,sft_train,symbol_transform,direct_template_template3401,real,true,auto
39c237c7,eval_holdout,symbol_transform,direct_template_template0134,real,true,auto
46c0e367,sft_train,symbol_transform,untrained_eval_only,real,true,eval_only
524cb5c6,grpo_holdout,symbol_transform,direct_template_template0134,real,true,auto
5bd9919c,sft_train,symbol_transform,direct_template_template0134,real,true,auto
60ed3f31,grpo_holdout,symbol_transform,direct_template_template0134,real,true,auto
64d775e5,sft_train,symbol_transform,direct_template_template3401,real,true,auto
6897f05e,sft_train,symbol_transform,direct_template_template0134,real,true,auto
7d8f22b1,sft_train,symbol_transform,direct_template_template0134,real,true,auto
7eecd498,sft_train,symbol_transform,direct_template_template0134,real,true,auto
8043a9d2,sft_train,symbol_transform,direct_template_template3401,real,true,auto
81b6d789,sft_train,symbol_transform,direct_template_template3401,real,true,auto
85c5b2a2,sft_train,symbol_transform,direct_template_template0134,real,true,auto
8dac3984,sft_train,symbol_transform,direct_template_template0134,real,true,auto
8e56a42e,sft_train,symbol_transform,direct_template_template0134,real,true,auto
97d6db7a,sft_train,symbol_transform,direct_template_template0134,real,true,auto
9aa8dc92,sft_train,symbol_transform,direct_template_template0134,real,true,auto
9cc02bc1,sft_train,symbol_transform,direct_template_template0134,real,true,auto
9fc69c17,sft_train,symbol_transform,direct_template_template0134,real,true,auto
a08fbb68,sft_train,symbol_transform,direct_template_template0134,real,true,auto
a4ee9fa6,sft_train,symbol_transform,direct_template_template3401,real,true,auto
a85864a9,sft_train,symbol_transform,direct_template_template0134,real,true,auto
af018681,sft_train,symbol_transform,direct_template_template0134,real,true,auto
b13d511a,sft_train,symbol_transform,direct_template_template0134,real,true,auto
b1b10e83,sft_train,symbol_transform,direct_template_template0134,real,true,auto
b4b73143,sft_train,symbol_transform,untrained_eval_only,real,true,eval_only
b50cf853,sft_train,symbol_transform,direct_template_template0134,real,true,auto
bc83b0a1,eval_holdout,symbol_transform,direct_template_template0134,real,true,auto
bca230fd,sft_train,symbol_transform,direct_template_template0134,real,true,auto
c87ce9ea,sft_train,symbol_transform,untrained_eval_only,real,true,eval_only
d0b1e41a,sft_train,symbol_transform,direct_template_template0134,real,true,auto
d63c1fb0,sft_train,symbol_transform,direct_template_template0134,real,true,auto
d6c03e21,sft_train,symbol_transform,direct_template_template0134,real,true,auto
d72d8c1c,sft_train,symbol_transform,direct_template_template0134,real,true,auto
d7662688,eval_holdout,symbol_transform,direct_template_template3401,real,true,auto
d9575f79,grpo_holdout,symbol_transform,direct_template_template0134,real,true,auto
d96607f8,sft_train,symbol_transform,direct_template_template0134,real,true,auto
da353dee,sft_train,symbol_transform,untrained_eval_only,real,true,eval_only
dac75343,sft_train,symbol_transform,direct_template_template0134,real,true,auto
dc0f5e5e,sft_train,symbol_transform,direct_template_template0134,real,true,auto
dcb9e01d,sft_train,symbol_transform,untrained_eval_only,real,true,eval_only
dea42835,sft_train,symbol_transform,direct_template_template3401,real,true,auto
e585410a,sft_train,symbol_transform,direct_template_template0134,real,true,auto
e977d0b7,sft_train,symbol_transform,direct_template_template0134,real,true,auto
eac0e775,sft_train,symbol_transform,direct_template_template3401,real,true,auto
ed61a9d6,sft_train,symbol_transform,direct_template_template0134,real,true,auto
efa7edc3,sft_train,symbol_transform,untrained_eval_only,real,true,eval_only
f8bbabab,sft_train,symbol_transform,direct_template_template3401,real,true,auto
ff0e37ae,sft_train,symbol_transform,direct_template_template0134,real,true,auto
st_phase1_direct_contrast_0002,sft_train,symbol_transform,direct_template_template0134,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0004,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0006,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0007,sft_train,symbol_transform,direct_template_template0134,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0008,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0009,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0010,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0012,sft_train,symbol_transform,direct_template_template0134,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0013,sft_train,symbol_transform,direct_template_template0134,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0014,sft_train,symbol_transform,direct_template_template0134,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0018,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0020,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0021,sft_train,symbol_transform,direct_template_template0134,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0022,sft_train,symbol_transform,direct_template_template0134,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0024,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0025,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0026,sft_train,symbol_transform,direct_template_template0134,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0027,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0028,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0030,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0033,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0034,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0036,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0039,sft_train,symbol_transform,direct_template_template0134,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0040,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0043,sft_train,symbol_transform,direct_template_template0134,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0045,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0046,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0051,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0054,sft_train,symbol_transform,direct_template_template0134,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0055,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0056,sft_train,symbol_transform,direct_template_template0134,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0057,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0058,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0060,sft_train,symbol_transform,direct_template_template0134,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0062,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0066,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0068,sft_train,symbol_transform,direct_template_template0134,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0070,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0072,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0073,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0074,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0075,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0078,sft_train,symbol_transform,direct_template_template0134,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0084,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0085,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0087,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0088,sft_train,symbol_transform,direct_template_template0134,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0090,sft_train,symbol_transform,direct_template_template0134,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0091,sft_train,symbol_transform,direct_template_template0134,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0092,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0094,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0096,sft_train,symbol_transform,direct_template_template0134,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0099,sft_train,symbol_transform,direct_template_template0134,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0100,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0103,sft_train,symbol_transform,direct_template_template0134,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0104,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0105,sft_train,symbol_transform,direct_template_template0134,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0106,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0109,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0110,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0112,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0114,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0115,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0116,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0118,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_contrast_0123,sft_train,symbol_transform,direct_template_template0134,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_fresh_0004,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_fresh_0016,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
st_phase1_direct_fresh_0024,sft_train,symbol_transform,direct_template_template3401,phase1_synthetic_direct_template,false,train_only
